episode,phase,total_reward,steps,epsilon,success
3925,multi,71.0000,45,0.140438,1
3926,multi,-201.0000,184,0.140368,1
3927,multi,95.0000,21,0.140297,1
3928,multi,117.0000,18,0.140227,1
3929,multi,-27.0000,124,0.140157,1
3930,multi,65.0000,32,0.140087,1
3931,multi,-199.0000,239,0.140017,1
3932,multi,55.0000,61,0.139947,1
3933,multi,115.0000,20,0.139877,1
3934,multi,-157.0000,197,0.139807,1
3935,multi,111.0000,24,0.139737,1
3936,multi,117.0000,18,0.139667,1
3937,multi,115.0000,20,0.139597,1
3938,multi,87.0000,29,0.139528,1
3939,multi,-131.0000,152,0.139458,1
3940,multi,35.0000,43,0.139388,1
3941,multi,105.0000,30,0.139318,1
3942,multi,111.0000,24,0.139249,1
3943,multi,1.0000,77,0.139179,1
3944,multi,113.0000,22,0.139110,1
3945,multi,113.0000,22,0.139040,1
3946,multi,-17.0000,95,0.138971,1
3947,multi,-91.0000,93,0.138901,1
3948,multi,45.0000,52,0.138832,1
3949,multi,-19.0000,78,0.138762,1
3950,multi,115.0000,20,0.138693,1
3951,multi,69.0000,28,0.138623,1
3952,multi,47.0000,50,0.138554,1
3953,multi,-95.0000,135,0.138485,1
3954,multi,117.0000,18,0.138416,1
3955,multi,71.0000,45,0.138346,1
3956,multi,91.0000,25,0.138277,1
3957,multi,75.0000,41,0.138208,1
3958,multi,103.0000,32,0.138139,1
3959,multi,-478.0000,350,0.138070,0
3960,multi,23.0000,74,0.138001,1
3961,multi,53.0000,63,0.137932,1
3962,multi,109.0000,26,0.137863,1
3963,multi,-125.0000,184,0.137794,1
3964,multi,105.0000,30,0.137725,1
3965,multi,-3.0000,119,0.137656,1
3966,multi,91.0000,25,0.137587,1
3967,multi,89.0000,27,0.137519,1
3968,multi,49.0000,29,0.137450,1
3969,multi,85.0000,31,0.137381,1
3970,multi,95.0000,21,0.137312,1
3971,multi,-485.0000,316,0.137244,1
3972,multi,115.0000,20,0.137175,1
3973,multi,69.0000,47,0.137107,1
3974,multi,13.0000,46,0.137038,1
3975,multi,13.0000,46,0.136969,1
3976,multi,109.0000,26,0.136901,1
3977,multi,87.0000,48,0.136833,1
3978,multi,69.0000,47,0.136764,1
3979,multi,53.0000,63,0.136696,1
3980,multi,113.0000,22,0.136627,1
3981,multi,105.0000,30,0.136559,1
3982,multi,75.0000,22,0.136491,1
3983,multi,93.0000,23,0.136423,1
3984,multi,-261.0000,225,0.136354,1
3985,multi,93.0000,42,0.136286,1
3986,multi,47.0000,31,0.136218,1
3987,multi,47.0000,50,0.136150,1
3988,multi,83.0000,52,0.136082,1
3989,multi,117.0000,18,0.136014,1
3990,multi,117.0000,18,0.135946,1
3991,multi,117.0000,18,0.135878,1
3992,multi,95.0000,21,0.135810,1
3993,multi,73.0000,43,0.135742,1
3994,multi,-43.0000,121,0.135674,1
3995,multi,91.0000,25,0.135606,1
3996,multi,-93.0000,133,0.135538,1
3997,multi,11.0000,67,0.135471,1
3998,multi,-329.0000,198,0.135403,1
3999,multi,-27.0000,67,0.135335,1
4000,multi,69.0000,28,0.135268,1
4001,multi,71.0000,26,0.135200,1
4002,multi,73.0000,24,0.135132,1
4003,multi,115.0000,20,0.135065,1
4004,multi,115.0000,20,0.134997,1
4005,multi,115.0000,20,0.134930,1
4006,multi,115.0000,20,0.134862,1
4007,multi,109.0000,26,0.134795,1
4008,multi,93.0000,23,0.134727,1
4009,multi,109.0000,26,0.134660,1
4010,multi,89.0000,27,0.134593,1
4011,multi,71.0000,26,0.134525,1
4012,multi,111.0000,24,0.134458,1
4013,multi,19.0000,40,0.134391,1
4014,multi,71.0000,26,0.134324,1
4015,multi,87.0000,29,0.134257,1
4016,multi,75.0000,22,0.134190,1
4017,multi,115.0000,20,0.134122,1
4018,multi,115.0000,20,0.134055,1
4019,multi,93.0000,23,0.133988,1
4020,multi,111.0000,24,0.133921,1
4021,multi,115.0000,20,0.133854,1
4022,multi,41.0000,56,0.133787,1
4023,multi,75.0000,22,0.133721,1
4024,multi,55.0000,23,0.133654,1
4025,multi,115.0000,20,0.133587,1
4026,multi,93.0000,23,0.133520,1
4027,multi,115.0000,20,0.133453,1
4028,multi,93.0000,23,0.133387,1
4029,multi,111.0000,24,0.133320,1
4030,multi,95.0000,21,0.133253,1
4031,multi,73.0000,24,0.133187,1
4032,multi,75.0000,22,0.133120,1
4033,multi,55.0000,23,0.133053,1
4034,multi,113.0000,22,0.132987,1
4035,multi,115.0000,20,0.132920,1
4036,multi,53.0000,25,0.132854,1
4037,multi,69.0000,28,0.132788,1
4038,multi,115.0000,20,0.132721,1
4039,multi,91.0000,25,0.132655,1
4040,multi,115.0000,20,0.132588,1
4041,multi,113.0000,22,0.132522,1
4042,multi,113.0000,22,0.132456,1
4043,multi,-473.0000,350,0.132390,0
4044,multi,105.0000,30,0.132323,1
4045,multi,97.0000,19,0.132257,1
4046,multi,-15.0000,74,0.132191,1
4047,multi,55.0000,61,0.132125,1
4048,multi,89.0000,27,0.132059,1
4049,multi,-566.0000,350,0.131993,0
4050,multi,71.0000,64,0.131927,1
4051,multi,-613.0000,350,0.131861,0
4052,multi,89.0000,46,0.131795,1
4053,multi,117.0000,18,0.131729,1
4054,multi,95.0000,21,0.131663,1
4055,multi,115.0000,20,0.131598,1
4056,multi,-219.0000,278,0.131532,1
4057,multi,13.0000,84,0.131466,1
4058,multi,-123.0000,182,0.131400,1
4059,multi,61.0000,55,0.131335,1
4060,multi,117.0000,18,0.131269,1
4061,multi,-39.0000,98,0.131203,1
4062,multi,97.0000,38,0.131138,1
4063,multi,109.0000,26,0.131072,1
4064,multi,97.0000,19,0.131007,1
4065,multi,-27.0000,67,0.130941,1
4066,multi,-97.0000,137,0.130876,1
4067,multi,93.0000,23,0.130810,1
4068,multi,111.0000,24,0.130745,1
4069,multi,-541.0000,350,0.130679,0
4070,multi,15.0000,63,0.130614,1
4071,multi,113.0000,22,0.130549,1
4072,multi,-99.0000,158,0.130483,1
4073,multi,87.0000,48,0.130418,1
4074,multi,35.0000,62,0.130353,1
4075,multi,67.0000,49,0.130288,1
4076,multi,103.0000,32,0.130223,1
4077,multi,117.0000,18,0.130158,1
4078,multi,21.0000,95,0.130092,1
4079,multi,99.0000,36,0.130027,1
4080,multi,105.0000,30,0.129962,1
4081,multi,-27.0000,67,0.129897,1
4082,multi,117.0000,18,0.129832,1
4083,multi,73.0000,24,0.129768,1
4084,multi,117.0000,18,0.129703,1
4085,multi,-247.0000,211,0.129638,1
4086,multi,-5.0000,83,0.129573,1
4087,multi,87.0000,29,0.129508,1
4088,multi,55.0000,61,0.129443,1
4089,multi,-159.0000,142,0.129379,1
4090,multi,111.0000,24,0.129314,1
4091,multi,89.0000,27,0.129249,1
4092,multi,73.0000,43,0.129185,1
4093,multi,79.0000,56,0.129120,1
4094,multi,99.0000,36,0.129056,1
4095,multi,113.0000,22,0.128991,1
4096,multi,115.0000,20,0.128927,1
4097,multi,-7.0000,123,0.128862,1
4098,multi,115.0000,20,0.128798,1
4099,multi,117.0000,18,0.128733,1
4100,multi,-515.0000,350,0.128669,0
4101,multi,81.0000,35,0.128605,1
4102,multi,43.0000,35,0.128540,1
4103,multi,117.0000,18,0.128476,1
4104,multi,69.0000,28,0.128412,1
4105,multi,53.0000,25,0.128348,1
4106,multi,95.0000,21,0.128283,1
4107,multi,113.0000,22,0.128219,1
4108,multi,115.0000,20,0.128155,1
4109,multi,117.0000,18,0.128091,1
4110,multi,111.0000,24,0.128027,1
4111,multi,97.0000,19,0.127963,1
4112,multi,-143.0000,183,0.127899,1
4113,multi,57.0000,40,0.127835,1
4114,multi,93.0000,42,0.127771,1
4115,multi,-554.0000,350,0.127707,0
4116,multi,81.0000,54,0.127643,1
4117,multi,81.0000,35,0.127580,1
4118,multi,91.0000,44,0.127516,1
4119,multi,107.0000,28,0.127452,1
4120,multi,111.0000,24,0.127388,1
4121,multi,13.0000,84,0.127325,1
4122,multi,-85.0000,182,0.127261,1
4123,multi,-281.0000,264,0.127197,1
4124,multi,51.0000,65,0.127134,1
4125,multi,103.0000,32,0.127070,1
4126,multi,-339.0000,322,0.127007,1
4127,multi,111.0000,24,0.126943,1
4128,multi,-329.0000,350,0.126880,1
4129,multi,109.0000,26,0.126816,1
4130,multi,65.0000,51,0.126753,1
4131,multi,95.0000,21,0.126689,1
4132,multi,-129.0000,131,0.126626,1
4133,multi,109.0000,26,0.126563,1
4134,multi,95.0000,21,0.126500,1
4135,multi,91.0000,25,0.126436,1
4136,multi,85.0000,31,0.126373,1
4137,multi,103.0000,32,0.126310,1
4138,multi,99.0000,36,0.126247,1
4139,multi,-499.0000,350,0.126184,0
4140,multi,115.0000,20,0.126120,1
4141,multi,99.0000,36,0.126057,1
4142,multi,113.0000,22,0.125994,1
4143,multi,13.0000,65,0.125931,1
4144,multi,57.0000,59,0.125868,1
4145,multi,95.0000,40,0.125805,1
4146,multi,-127.0000,167,0.125743,1
4147,multi,109.0000,26,0.125680,1
4148,multi,71.0000,26,0.125617,1
4149,multi,113.0000,22,0.125554,1
4150,multi,27.0000,89,0.125491,1
4151,multi,95.0000,21,0.125429,1
4152,multi,111.0000,24,0.125366,1
4153,multi,-15.0000,74,0.125303,1
4154,multi,109.0000,26,0.125240,1
4155,multi,77.0000,20,0.125178,1
4156,multi,107.0000,28,0.125115,1
4157,multi,-1.0000,79,0.125053,1
4158,multi,-81.0000,178,0.124990,1
4159,multi,103.0000,32,0.124928,1
4160,multi,117.0000,18,0.124865,1
4161,multi,51.0000,84,0.124803,1
4162,multi,79.0000,37,0.124740,1
4163,multi,-189.0000,191,0.124678,1
4164,multi,107.0000,28,0.124616,1
4165,multi,39.0000,39,0.124553,1
4166,multi,115.0000,20,0.124491,1
4167,multi,103.0000,32,0.124429,1
4168,multi,49.0000,86,0.124367,1
4169,multi,115.0000,20,0.124304,1
4170,multi,-173.0000,137,0.124242,1
4171,multi,-45.0000,104,0.124180,1
4172,multi,61.0000,36,0.124118,1
4173,multi,109.0000,26,0.124056,1
4174,multi,95.0000,21,0.123994,1
4175,multi,-871.0000,350,0.123932,0
4176,multi,109.0000,26,0.123870,1
4177,multi,117.0000,18,0.123808,1
4178,multi,117.0000,18,0.123746,1
4179,multi,89.0000,27,0.123684,1
4180,multi,109.0000,26,0.123623,1
4181,multi,63.0000,53,0.123561,1
4182,multi,-147.0000,168,0.123499,1
4183,multi,-267.0000,250,0.123437,1
4184,multi,115.0000,20,0.123375,1
4185,multi,75.0000,41,0.123314,1
4186,multi,73.0000,24,0.123252,1
4187,multi,109.0000,26,0.123190,1
4188,multi,-325.0000,270,0.123129,1
4189,multi,89.0000,46,0.123067,1
4190,multi,115.0000,20,0.123006,1
4191,multi,7.0000,71,0.122944,1
4192,multi,61.0000,55,0.122883,1
4193,multi,53.0000,63,0.122821,1
4194,multi,-554.0000,350,0.122760,0
4195,multi,91.0000,25,0.122699,1
4196,multi,25.0000,91,0.122637,1
4197,multi,111.0000,24,0.122576,1
4198,multi,113.0000,22,0.122515,1
4199,multi,9.0000,69,0.122453,1
4200,multi,103.0000,32,0.122392,1
4201,multi,-181.0000,164,0.122331,1
4202,multi,77.0000,20,0.122270,1
4203,multi,117.0000,18,0.122209,1
4204,multi,-195.0000,178,0.122148,1
4205,multi,15.0000,82,0.122086,1
4206,multi,113.0000,22,0.122025,1
4207,multi,115.0000,20,0.121964,1
4208,multi,115.0000,20,0.121903,1
4209,multi,89.0000,27,0.121842,1
4210,multi,117.0000,18,0.121782,1
4211,multi,75.0000,22,0.121721,1
4212,multi,103.0000,32,0.121660,1
4213,multi,-9.0000,87,0.121599,1
4214,multi,97.0000,38,0.121538,1
4215,multi,101.0000,34,0.121477,1
4216,multi,115.0000,20,0.121417,1
4217,multi,111.0000,24,0.121356,1
4218,multi,113.0000,22,0.121295,1
4219,multi,97.0000,38,0.121235,1
4220,multi,-253.0000,293,0.121174,1
4221,multi,49.0000,86,0.121113,1
4222,multi,43.0000,73,0.121053,1
4223,multi,115.0000,20,0.120992,1
4224,multi,69.0000,28,0.120932,1
4225,multi,109.0000,26,0.120871,1
4226,multi,115.0000,20,0.120811,1
4227,multi,85.0000,31,0.120751,1
4228,multi,117.0000,18,0.120690,1
4229,multi,103.0000,32,0.120630,1
4230,multi,59.0000,57,0.120570,1
4231,multi,-101.0000,103,0.120509,1
4232,multi,-81.0000,121,0.120449,1
4233,multi,91.0000,25,0.120389,1
4234,multi,115.0000,20,0.120329,1
4235,multi,-49.0000,108,0.120268,1
4236,multi,117.0000,18,0.120208,1
4237,multi,85.0000,31,0.120148,1
4238,multi,113.0000,22,0.120088,1
4239,multi,-35.0000,94,0.120028,1
4240,multi,117.0000,18,0.119968,1
4241,multi,-203.0000,205,0.119908,1
4242,multi,87.0000,48,0.119848,1
4243,multi,-29.0000,145,0.119788,1
4244,multi,103.0000,32,0.119728,1
4245,multi,-43.0000,64,0.119668,1
4246,multi,-167.0000,207,0.119609,1
4247,multi,93.0000,23,0.119549,1
4248,multi,-550.0000,350,0.119489,0
4249,multi,93.0000,23,0.119429,1
4250,multi,-223.0000,282,0.119370,1
4251,multi,51.0000,46,0.119310,1
4252,multi,21.0000,57,0.119250,1
4253,multi,-71.0000,187,0.119191,1
4254,multi,95.0000,21,0.119131,1
4255,multi,95.0000,21,0.119071,1
4256,multi,75.0000,22,0.119012,1
4257,multi,-153.0000,212,0.118952,1
4258,multi,113.0000,22,0.118893,1
4259,multi,111.0000,24,0.118833,1
4260,multi,83.0000,33,0.118774,1
4261,multi,111.0000,24,0.118715,1
4262,multi,89.0000,27,0.118655,1
4263,multi,113.0000,22,0.118596,1
4264,multi,87.0000,29,0.118537,1
4265,multi,113.0000,22,0.118477,1
4266,multi,75.0000,22,0.118418,1
4267,multi,55.0000,23,0.118359,1
4268,multi,113.0000,22,0.118300,1
4269,multi,75.0000,22,0.118241,1
4270,multi,113.0000,22,0.118181,1
4271,multi,111.0000,24,0.118122,1
4272,multi,69.0000,28,0.118063,1
4273,multi,111.0000,24,0.118004,1
4274,multi,115.0000,20,0.117945,1
4275,multi,95.0000,21,0.117886,1
4276,multi,63.0000,53,0.117827,1
4277,multi,113.0000,22,0.117768,1
4278,multi,115.0000,20,0.117710,1
4279,multi,115.0000,20,0.117651,1
4280,multi,91.0000,25,0.117592,1
4281,multi,93.0000,23,0.117533,1
4282,multi,73.0000,24,0.117474,1
4283,multi,79.0000,37,0.117416,1
4284,multi,95.0000,21,0.117357,1
4285,multi,107.0000,28,0.117298,1
4286,multi,93.0000,23,0.117240,1
4287,multi,95.0000,21,0.117181,1
4288,multi,113.0000,22,0.117122,1
4289,multi,101.0000,34,0.117064,1
4290,multi,109.0000,26,0.117005,1
4291,multi,-7.0000,104,0.116947,1
4292,multi,93.0000,42,0.116888,1
4293,multi,-67.0000,126,0.116830,1
4294,multi,-533.0000,350,0.116771,0
4295,multi,-153.0000,155,0.116713,1
4296,multi,115.0000,20,0.116655,1
4297,multi,115.0000,20,0.116596,1
4298,multi,51.0000,65,0.116538,1
4299,multi,115.0000,20,0.116480,1
4300,multi,-688.0000,350,0.116422,0
4301,multi,93.0000,42,0.116363,1
4302,multi,69.0000,28,0.116305,1
4303,multi,73.0000,43,0.116247,1
4304,multi,107.0000,28,0.116189,1
4305,multi,91.0000,25,0.116131,1
4306,multi,115.0000,20,0.116073,1
4307,multi,85.0000,31,0.116015,1
4308,multi,31.0000,66,0.115957,1
4309,multi,95.0000,21,0.115899,1
4310,multi,115.0000,20,0.115841,1
4311,multi,115.0000,20,0.115783,1
4312,multi,117.0000,18,0.115725,1
4313,multi,91.0000,25,0.115667,1
4314,multi,95.0000,21,0.115609,1
4315,multi,73.0000,24,0.115551,1
4316,multi,-37.0000,96,0.115494,1
4317,multi,117.0000,18,0.115436,1
4318,multi,93.0000,23,0.115378,1
4319,multi,117.0000,18,0.115321,1
4320,multi,107.0000,28,0.115263,1
4321,multi,-478.0000,350,0.115205,0
4322,multi,31.0000,66,0.115148,1
4323,multi,115.0000,20,0.115090,1
4324,multi,103.0000,32,0.115032,1
4325,multi,13.0000,84,0.114975,1
4326,multi,105.0000,30,0.114917,1
4327,multi,115.0000,20,0.114860,1
4328,multi,91.0000,25,0.114803,1
4329,multi,117.0000,18,0.114745,1
4330,multi,77.0000,39,0.114688,1
4331,multi,59.0000,38,0.114630,1
4332,multi,113.0000,22,0.114573,1
4333,multi,105.0000,30,0.114516,1
4334,multi,105.0000,30,0.114459,1
4335,multi,117.0000,18,0.114401,1
4336,multi,107.0000,28,0.114344,1
4337,multi,117.0000,18,0.114287,1
4338,multi,-503.0000,350,0.114230,0
4339,multi,115.0000,20,0.114173,1
4340,multi,29.0000,68,0.114116,1
4341,multi,95.0000,21,0.114059,1
4342,multi,117.0000,18,0.114002,1
4343,multi,91.0000,25,0.113945,1
4344,multi,1.0000,58,0.113888,1
4345,multi,-465.0000,350,0.113831,0
4346,multi,111.0000,24,0.113774,1
4347,multi,107.0000,28,0.113717,1
4348,multi,83.0000,33,0.113660,1
4349,multi,111.0000,24,0.113603,1
4350,multi,117.0000,18,0.113546,1
4351,multi,73.0000,43,0.113490,1
4352,multi,117.0000,18,0.113433,1
4353,multi,11.0000,105,0.113376,1
4354,multi,115.0000,20,0.113319,1
4355,multi,81.0000,35,0.113263,1
4356,multi,115.0000,20,0.113206,1
4357,multi,-29.0000,88,0.113150,1
4358,multi,115.0000,20,0.113093,1
4359,multi,-85.0000,106,0.113036,1
4360,multi,97.0000,19,0.112980,1
4361,multi,-427.0000,350,0.112923,0
4362,multi,65.0000,70,0.112867,1
4363,multi,73.0000,24,0.112811,1
4364,multi,115.0000,20,0.112754,1
4365,multi,89.0000,27,0.112698,1
4366,multi,113.0000,22,0.112641,1
4367,multi,81.0000,35,0.112585,1
4368,multi,111.0000,24,0.112529,1
4369,multi,113.0000,22,0.112473,1
4370,multi,117.0000,18,0.112416,1
4371,multi,109.0000,26,0.112360,1
4372,multi,57.0000,59,0.112304,1
4373,multi,-21.0000,118,0.112248,1
4374,multi,81.0000,35,0.112192,1
4375,multi,-175.0000,234,0.112136,1
4376,multi,113.0000,22,0.112079,1
4377,multi,111.0000,24,0.112023,1
4378,multi,-117.0000,119,0.111967,1
4379,multi,117.0000,18,0.111911,1
4380,multi,117.0000,18,0.111855,1
4381,multi,17.0000,80,0.111800,1
4382,multi,109.0000,26,0.111744,1
4383,multi,115.0000,20,0.111688,1
4384,multi,75.0000,22,0.111632,1
4385,multi,115.0000,20,0.111576,1
4386,multi,115.0000,20,0.111520,1
4387,multi,-13.0000,129,0.111465,1
4388,multi,91.0000,25,0.111409,1
4389,multi,115.0000,20,0.111353,1
4390,multi,101.0000,34,0.111297,1
4391,multi,-25.0000,141,0.111242,1
4392,multi,49.0000,86,0.111186,1
4393,multi,115.0000,20,0.111131,1
4394,multi,95.0000,21,0.111075,1
4395,multi,61.0000,55,0.111019,1
4396,multi,41.0000,56,0.110964,1
4397,multi,89.0000,46,0.110908,1
4398,multi,117.0000,18,0.110853,1
4399,multi,-605.0000,350,0.110798,0
4400,multi,117.0000,18,0.110742,1
4401,multi,97.0000,19,0.110687,1
4402,multi,95.0000,21,0.110631,1
4403,multi,107.0000,28,0.110576,1
4404,multi,117.0000,18,0.110521,1
4405,multi,113.0000,22,0.110466,1
4406,multi,73.0000,24,0.110410,1
4407,multi,83.0000,33,0.110355,1
4408,multi,93.0000,23,0.110300,1
4409,multi,77.0000,20,0.110245,1
4410,multi,97.0000,19,0.110190,1
4411,multi,75.0000,22,0.110135,1
4412,multi,113.0000,22,0.110080,1
4413,multi,-349.0000,237,0.110025,1
4414,multi,75.0000,22,0.109970,1
4415,multi,-440.0000,350,0.109915,0
4416,multi,-668.0000,350,0.109860,0
4417,multi,-43.0000,159,0.109805,1
4418,multi,75.0000,60,0.109750,1
4419,multi,105.0000,30,0.109695,1
4420,multi,115.0000,20,0.109640,1
4421,multi,63.0000,53,0.109585,1
4422,multi,51.0000,46,0.109530,1
4423,multi,99.0000,36,0.109476,1
4424,multi,111.0000,24,0.109421,1
4425,multi,39.0000,58,0.109366,1
4426,multi,-177.0000,122,0.109312,1
4427,multi,117.0000,18,0.109257,1
4428,multi,63.0000,34,0.109202,1
4429,multi,97.0000,19,0.109148,1
4430,multi,79.0000,37,0.109093,1
4431,multi,111.0000,24,0.109039,1
4432,multi,95.0000,21,0.108984,1
4433,multi,77.0000,58,0.108930,1
4434,multi,117.0000,18,0.108875,1
4435,multi,77.0000,20,0.108821,1
4436,multi,-305.0000,288,0.108766,1
4437,multi,63.0000,34,0.108712,1
4438,multi,97.0000,19,0.108657,1
4439,multi,105.0000,30,0.108603,1
4440,multi,-499.0000,350,0.108549,0
4441,multi,113.0000,22,0.108495,1
4442,multi,75.0000,60,0.108440,1
4443,multi,109.0000,26,0.108386,1
4444,multi,103.0000,32,0.108332,1
4445,multi,117.0000,18,0.108278,1
4446,multi,63.0000,53,0.108224,1
4447,multi,71.0000,45,0.108169,1
4448,multi,115.0000,20,0.108115,1
4449,multi,91.0000,25,0.108061,1
4450,multi,35.0000,100,0.108007,1
4451,multi,63.0000,34,0.107953,1
4452,multi,-650.0000,350,0.107899,0
4453,multi,-21.0000,118,0.107845,1
4454,multi,-227.0000,267,0.107791,1
4455,multi,113.0000,22,0.107738,1
4456,multi,-69.0000,185,0.107684,1
4457,multi,15.0000,63,0.107630,1
4458,multi,93.0000,42,0.107576,1
4459,multi,87.0000,48,0.107522,1
4460,multi,71.0000,26,0.107468,1
4461,multi,103.0000,32,0.107415,1
4462,multi,41.0000,94,0.107361,1
4463,multi,-7.0000,85,0.107307,1
4464,multi,75.0000,22,0.107254,1
4465,multi,109.0000,26,0.107200,1
4466,multi,-161.0000,163,0.107146,1
4467,multi,75.0000,22,0.107093,1
4468,multi,117.0000,18,0.107039,1
4469,multi,115.0000,20,0.106986,1
4470,multi,95.0000,21,0.106932,1
4471,multi,117.0000,18,0.106879,1
4472,multi,-440.0000,350,0.106825,0
4473,multi,95.0000,21,0.106772,1
4474,multi,117.0000,18,0.106719,1
4475,multi,-33.0000,130,0.106665,1
4476,multi,-275.0000,182,0.106612,1
4477,multi,95.0000,21,0.106559,1
4478,multi,97.0000,19,0.106505,1
4479,multi,115.0000,20,0.106452,1
4480,multi,-625.0000,350,0.106399,0
4481,multi,49.0000,67,0.106346,1
4482,multi,79.0000,37,0.106293,1
4483,multi,-73.0000,132,0.106239,1
4484,multi,117.0000,18,0.106186,1
4485,multi,107.0000,28,0.106133,1
4486,multi,93.0000,23,0.106080,1
4487,multi,109.0000,26,0.106027,1
4488,multi,117.0000,18,0.105974,1
4489,multi,69.0000,47,0.105921,1
4490,multi,99.0000,36,0.105868,1
4491,multi,-69.0000,90,0.105815,1
4492,multi,-17.0000,95,0.105762,1
4493,multi,-187.0000,265,0.105709,1
4494,multi,115.0000,20,0.105657,1
4495,multi,59.0000,57,0.105604,1
4496,multi,75.0000,41,0.105551,1
4497,multi,87.0000,29,0.105498,1
4498,multi,87.0000,29,0.105445,1
4499,multi,-235.0000,294,0.105393,1
4500,multi,3.0000,56,0.105340,1
4501,multi,97.0000,19,0.105287,1
4502,multi,117.0000,18,0.105235,1
4503,multi,111.0000,24,0.105182,1
4504,multi,115.0000,20,0.105129,1
4505,multi,117.0000,18,0.105077,1
4506,multi,97.0000,19,0.105024,1
4507,multi,95.0000,21,0.104972,1
4508,multi,89.0000,27,0.104919,1
4509,multi,117.0000,18,0.104867,1
4510,multi,115.0000,20,0.104814,1
4511,multi,97.0000,19,0.104762,1
4512,multi,117.0000,18,0.104710,1
4513,multi,117.0000,18,0.104657,1
4514,multi,111.0000,24,0.104605,1
4515,multi,113.0000,22,0.104553,1
4516,multi,93.0000,23,0.104500,1
4517,multi,97.0000,19,0.104448,1
4518,multi,115.0000,20,0.104396,1
4519,multi,91.0000,25,0.104344,1
4520,multi,115.0000,20,0.104292,1
4521,multi,115.0000,20,0.104239,1
4522,multi,91.0000,25,0.104187,1
4523,multi,113.0000,22,0.104135,1
4524,multi,97.0000,19,0.104083,1
4525,multi,115.0000,20,0.104031,1
4526,multi,95.0000,21,0.103979,1
4527,multi,117.0000,18,0.103927,1
4528,multi,117.0000,18,0.103875,1
4529,multi,115.0000,20,0.103823,1
4530,multi,97.0000,19,0.103771,1
4531,multi,115.0000,20,0.103719,1
4532,multi,115.0000,20,0.103667,1
4533,multi,95.0000,21,0.103616,1
4534,multi,117.0000,18,0.103564,1
4535,multi,91.0000,25,0.103512,1
4536,multi,113.0000,22,0.103460,1
4537,multi,113.0000,22,0.103409,1
4538,multi,77.0000,20,0.103357,1
4539,multi,115.0000,20,0.103305,1
4540,multi,117.0000,18,0.103254,1
4541,multi,-503.0000,350,0.103202,0
4542,multi,-402.0000,350,0.103150,0
4543,multi,99.0000,36,0.103099,1
4544,multi,103.0000,32,0.103047,1
4545,multi,51.0000,65,0.102996,1
4546,multi,65.0000,70,0.102944,1
4547,multi,97.0000,19,0.102893,1
4548,multi,93.0000,23,0.102841,1
4549,multi,97.0000,19,0.102790,1
4550,multi,93.0000,23,0.102738,1
4551,multi,21.0000,95,0.102687,1
4552,multi,95.0000,21,0.102636,1
4553,multi,83.0000,33,0.102584,1
4554,multi,-575.0000,350,0.102533,0
4555,multi,117.0000,18,0.102482,1
4556,multi,65.0000,32,0.102431,1
4557,multi,113.0000,22,0.102379,1
4558,multi,-529.0000,350,0.102328,0
4559,multi,-149.0000,189,0.102277,1
4560,multi,77.0000,39,0.102226,1
4561,multi,65.0000,51,0.102175,1
4562,multi,-536.0000,350,0.102124,0
4563,multi,23.0000,93,0.102073,1
4564,multi,-474.0000,350,0.102022,0
4565,multi,111.0000,24,0.101971,1
4566,multi,53.0000,44,0.101920,1
4567,multi,93.0000,23,0.101869,1
4568,multi,115.0000,20,0.101818,1
4569,multi,47.0000,88,0.101767,1
4570,multi,107.0000,28,0.101716,1
4571,multi,115.0000,20,0.101665,1
4572,multi,95.0000,21,0.101614,1
4573,multi,37.0000,60,0.101563,1
4574,multi,95.0000,21,0.101513,1
4575,multi,115.0000,20,0.101462,1
4576,multi,117.0000,18,0.101411,1
4577,multi,113.0000,22,0.101360,1
4578,multi,97.0000,19,0.101310,1
4579,multi,117.0000,18,0.101259,1
4580,multi,113.0000,22,0.101208,1
4581,multi,19.0000,78,0.101158,1
4582,multi,-125.0000,241,0.101107,1
4583,multi,115.0000,20,0.101057,1
4584,multi,89.0000,46,0.101006,1
4585,multi,-633.0000,350,0.100956,0
4586,multi,11.0000,86,0.100905,1
4587,multi,-39.0000,98,0.100855,1
4588,multi,87.0000,48,0.100804,1
4589,multi,-79.0000,138,0.100754,1
4590,multi,77.0000,39,0.100704,1
4591,multi,89.0000,27,0.100653,1
4592,multi,117.0000,18,0.100603,1
4593,multi,117.0000,18,0.100553,1
4594,multi,95.0000,21,0.100502,1
4595,multi,111.0000,24,0.100452,1
4596,multi,115.0000,20,0.100402,1
4597,multi,-398.0000,350,0.100352,0
4598,multi,117.0000,18,0.100301,1
4599,multi,11.0000,124,0.100251,1
4600,multi,95.0000,21,0.100201,1
4601,multi,95.0000,21,0.100151,1
4602,multi,115.0000,20,0.100101,1
4603,multi,117.0000,18,0.100051,1
4604,multi,25.0000,72,0.100001,1
4605,multi,91.0000,44,0.099951,1
4606,multi,73.0000,24,0.099901,1
4607,multi,115.0000,20,0.099851,1
4608,multi,69.0000,47,0.099801,1
4609,multi,113.0000,22,0.099751,1
4610,multi,-97.0000,194,0.099701,1
4611,multi,95.0000,21,0.099651,1
4612,multi,113.0000,22,0.099602,1
4613,multi,101.0000,34,0.099552,1
4614,multi,77.0000,20,0.099502,1
4615,multi,115.0000,20,0.099452,1
4616,multi,91.0000,25,0.099403,1
